"Putregax Brevisensus","","m",1,240,328,445,918,W,breed,6.53009,9.56382,0.917992,6.38738,0.001,1,177001,4.30381,5.56304,3.18022,6.36917,0.0186054,0.00220156,162,scavenger,1,16,8
"Malumilia Aevivisus","","0",1,240,219,35,887,N,hungry,1.60633,9.12064,0.886992,-0.9515,0.001,1,288162,4.47797,8.89741,5.36531,8.82014,0.014842,0.00107272,99,apple,1,4,24
"Malumita Aevisensus","","0",1,240,377,391,848,N,migrate,4.4921,2.1783,0.847993,6.62372,0.001,1,288162,3.18724,2.10113,6.90387,7.17624,0.0136274,0.00100874,157,apple,0,21,7
"Malugax Aevisensus","","0",1,240,20,305,831,W,breed,4.73205,9.62085,0.830993,3.40194,0.001,1,288162,4.30381,6.32104,3.26201,3.38648,0.0186054,0.00161164,162,apple,1,27,22
"Musagax Aevivisus","","Q",1,240,134,32,553,SW,hungry,2.56198,4.88811,0.552996,-0.0257862,0.001,1,287633,4.70344,6.32104,3.65038,7.17624,0.0186054,0.00161164,99,banana,1,27,7
"Putregax Brevisensus","","m",1,240,409,418,501,none,hungry,1.99964,4.91841,0.500997,-0.229782,0.001,1,177001,4.30381,5.56304,3.18022,4.92446,0.0186054,0.00264117,151,scavenger,1,16,8
"Malumita Aevisensus","","0",1,240,99,275,443,W,hungry,2.21061,2.86746,0.442998,-0.713959,0.001,1,288162,4.30381,6.36719,6.87832,4.87783,0.0186054,0.00161164,162,apple,0,27,25
"Malugax Brevivisus","","0",1,240,408,14,440,SE,hungry,0.127201,9.57283,0.439998,-0.472,0.001,1,167790,3.32846,6.32104,4.28735,8.85944,0.0146931,0.00107272,99,apple,1,27,26
"Musamita Aevivisus","","Q",1,240,50,47,390,W,migrate,4.35416,9.62085,0.389999,2.28164,0.001,1,287633,4.30381,8.89741,3.65038,8.82014,0.0186054,0.00169854,99,banana,0,26,7
"Malugax Aevisensus","","0",1,240,63,183,221,S,hungry,3.90061,3.03842,0.221,-0.356173,0.001,1,288162,4.30381,6.32104,3.26201,3.38648,0.0172013,0.00161164,162,apple,1,28,22
"Malumita Aevisensus","","0",1,240,278,381,206,E,hungry,2.25678,3.07643,0.206,-0.331998,0.001,1,288162,4.30381,6.32104,6.87832,4.89841,0.0136274,0.00161164,163,apple,0,27,25
"Musagax Brevisensus","","Q",1,240,326,461,88,W,hungry,4.03503,9.92397,0.088,-0.232423,0.001,1,177001,4.70344,6.32104,3.18022,6.36917,0.0186054,0.00264117,162,banana,1,16,10
"Malumita Aevisensus","","0",1,240,400,172,45,SW,hungry,0.619617,2.91729,0.045,-0.0453935,0.001,1,287555,4.30381,6.32104,3.25942,8.78553,0.0156306,0.00100874,165,apple,0,27,8
"Musagax Aevivisus","","Q",1,240,134,33,16,SW,hungry,1.4123,3.25016,0.016,-0.0257862,0.001,1,287633,4.70344,6.32104,3.65038,7.17624,0.0186054,0.00161164,99,banana,1,27,7
